filename,label
task1/aoRRfheQJeU3LFd4.png,0
task1/uqctCAnyY2UCgN2A.png,3
task1/vbwSMSNFOrjov0Q2.png,7
task1/cyFIshKRqKzzUn2Q.png,8
task1/aH1HQXwCFmN984cB.png,5
task1/7fcSVLIYprXu0tq2.png,5
task1/KVpod7wgjzie4Mgb.png,4
task1/nuesZg4kkmRE9Ldx.png,4
task1/fzlR2rZ5DwFqwDsz.png,2
task1/A5PualiXi9ZUEfCX.png,2
task1/FBoNLfPnv1BUiK5E.png,2
task1/MlhAEJcMt68tF43B.png,3
task1/cqUezXntFUiX3L54.png,2
task1/T8VYrxq7suObIMgD.png,9
task1/LzVBCzT4Kv0xBrQu.png,9
task1/iYMQk8ju8tQgNBqq.png,2
task1/INVCWmcFMvBqgnOb.png,7
task1/G0HXYWLe0RykCk8p.png,2
task1/vYeoNmEdi6LGBz4f.png,3
task1/kAsAGendKNqNHR8g.png,5
task1/lOE6jOgxpoW9PI91.png,4
task1/PxPlGsfD4k02WaAJ.png,6
task1/xcgZVzGEgp3fKt02.png,3
task1/fdGycMD7cQZk3s24.png,6
task1/rAhGRAk9DuYdEfeW.png,4
task1/uGZiK3buSJJDt2xW.png,6
task1/pGLbXIAmGzUcvNPK.png,0
task1/OwYvNuacvctORv7G.png,9
task1/7s6fL3Ppi54Tej56.png,2
task1/iEWgfrkMBPbUKBnm.png,2
task1/bk46NR8QZwvUlrBf.png,5
task1/1DLhCI5ORbIOxw5h.png,5
task1/EwT4tb1Edozqg211.png,5
task1/5SfBWzFjCMpuMAvc.png,2
task1/dur3xnWvs3vGT50W.png,3
task1/e3M9Q3AR1UQmInT9.png,6
task1/y7K8oeD3CmBLkxCR.png,5
task1/ZrmcvhX4RJgnReKN.png,7
task1/YEu4uHWldnoIH2Fo.png,7
task1/gILa1fplfaBu1y36.png,8
task1/XfSSxUIUZA5H8EuJ.png,0
task1/02Tr7zdqMy4dmIpp.png,9
task1/4QoBB28SBoEPEIqW.png,9
task1/14MNFvaSu0pi2m2q.png,2
task1/Shv4AxhF6H7Ajx5i.png,5
